position_percent,time_after_command_s,sample_position_percent
1,1.4146648512975162,1.0071718784148056
5,3.01462700903312,5.338954483058657
10,4.014603357617872,10.630489637581352
20,5.814560785070441,21.12067581020618
25,6.614541863938243,25.83789856101948
30,7.414522942806045,31.04745417900364
35,8.014508751956896,35.10408268258855
40,8.814489830824712,40.14899037900259
50,10.414451988560302,50.167752499566134
75,14.214362113182375,75.58131250442715
90,16.41431008006883,90.84946219153187
95,17.414286428653583,95.04007618315707
99,19.414239125823087,99.04183514656397
